Model,Accuracy,Recall,Precision,F1,Train Accuracy,F1 Anger,F1 Anticipation,F1 Digust,F1 Fear,F1 Joy,F1 Sadness,F1 Surprise,F1 Trust,Recall Anger,Recall Anticipation,Recall Digust,Recall Fear,Recall Joy,Recall Sadness,Recall Surprise,Recall Trust,Precision Anger,Precision Anticipation,Precision Digust,Precision Fear,Precision Joy,Precision Sadness,Precision Surprise,Precision Trust
VotingClassifier,0.366,0.31785324101687823,0.3606233421059041,0.3230222559548939,0.35721428571428565,0.46880269814502534,0.3656509695290859,0.15254237288135594,0.23456790123456786,0.4083769633507854,0.2482758620689655,0.35135135135135137,0.3546099290780142,0.6587677725118484,0.38823529411764707,0.11688311688311688,0.18269230769230768,0.4020618556701031,0.20689655172413793,0.2708333333333333,0.31645569620253167,0.36387434554973824,0.34554973821989526,0.21951219512195122,0.3275862068965517,0.4148936170212766,0.3103448275862069,0.5,0.4032258064516129
SVC,0.357,0.31368693414461024,0.3448023744812334,0.3183684393421225,0.3529285714285715,0.4475524475524476,0.3605633802816901,0.16260162601626016,0.20731707317073172,0.4126984126984127,0.2567567567567568,0.32704402515723263,0.37241379310344824,0.6066350710900474,0.3764705882352941,0.12987012987012986,0.16346153846153846,0.4020618556701031,0.21839080459770116,0.2708333333333333,0.34177215189873417,0.3545706371191136,0.34594594594594597,0.21739130434782608,0.2833333333333333,0.42391304347826086,0.3114754098360656,0.4126984126984127,0.4090909090909091
SGDClassifier,0.355,0.3090059283007157,0.348255239114633,0.31439756043430206,0.35578571428571426,0.45694200351493847,0.362116991643454,0.14634146341463414,0.24705882352941175,0.4,0.2191780821917808,0.3380281690140845,0.34551495016611294,0.6161137440758294,0.38235294117647056,0.11688311688311688,0.20192307692307693,0.3917525773195876,0.1839080459770115,0.25,0.3291139240506329,0.36312849162011174,0.3439153439153439,0.1956521739130435,0.3181818181818182,0.40860215053763443,0.2711864406779661,0.5217391304347826,0.36363636363636365
MultinomialNB,0.35,0.2980774207767676,0.33825463263914946,0.2985256022281959,0.34928571428571425,0.4527027027027027,0.34659090909090906,0.0909090909090909,0.25,0.39378238341968913,0.2516556291390728,0.23076923076923078,0.37179487179487186,0.6350710900473934,0.3588235294117647,0.06493506493506493,0.19230769230769232,0.3917525773195876,0.21839080459770116,0.15625,0.3670886075949367,0.35170603674540685,0.33516483516483514,0.15151515151515152,0.35714285714285715,0.3958333333333333,0.296875,0.4411764705882353,0.37662337662337664
LogisticRegression,0.35,0.31238473309460923,0.3360389763679128,0.31643617422687703,0.35714285714285715,0.4436229205175601,0.35327635327635326,0.17322834645669288,0.20930232558139533,0.4,0.26751592356687903,0.33121019108280253,0.35333333333333333,0.5687203791469194,0.36470588235294116,0.14285714285714285,0.17307692307692307,0.4020618556701031,0.2413793103448276,0.2708333333333333,0.33544303797468356,0.36363636363636365,0.3425414364640884,0.22,0.2647058823529412,0.3979591836734694,0.3,0.4262295081967213,0.3732394366197183
GradientBoostingClassifier,0.348,0.2989657935740677,0.37447736820477195,0.3076319638005829,0.293,0.42397660818713445,0.359621451104101,0.19672131147540983,0.2641509433962264,0.37305699481865284,0.196969696969697,0.3157894736842105,0.33076923076923076,0.6872037914691943,0.3352941176470588,0.15584415584415584,0.20192307692307693,0.3711340206185567,0.14942528735632185,0.21875,0.2721518987341772,0.30655391120507397,0.3877551020408163,0.26666666666666666,0.38181818181818183,0.375,0.28888888888888886,0.5675675675675675,0.4215686274509804
RandomForestClassifier,0.333,0.29368296245967046,0.30750299258683833,0.2941607650761104,0.31078571428571433,0.40079365079365087,0.36521739130434777,0.12500000000000003,0.2587064676616916,0.35,0.19999999999999998,0.25477707006369427,0.39879154078549855,0.4786729857819905,0.37058823529411766,0.09090909090909091,0.25,0.36082474226804123,0.1724137931034483,0.20833333333333334,0.4177215189873418,0.3447098976109215,0.36,0.2,0.26804123711340205,0.33980582524271846,0.23809523809523808,0.32786885245901637,0.3815028901734104
KNN,0.311,0.2503733389429584,0.26216976449279256,0.2392288088999806,0.3018571428571428,0.4269293924466338,0.35978835978835977,0.023255813953488372,0.14545454545454545,0.37433155080213903,0.11267605633802816,0.16058394160583941,0.31081081081081086,0.6161137440758294,0.4,0.012987012987012988,0.11538461538461539,0.36082474226804123,0.09195402298850575,0.11458333333333333,0.2911392405063291,0.32663316582914576,0.3269230769230769,0.1111111111111111,0.19672131147540983,0.3888888888888889,0.14545454545454545,0.2682926829268293,0.3333333333333333
DecisionTreeClassifier,0.304,0.27202067495287713,0.2849281634321342,0.2739334305237274,0.293,0.38867924528301884,0.2915451895043732,0.13953488372093023,0.2814070351758794,0.3473684210526316,0.15602836879432627,0.2696629213483146,0.31724137931034485,0.4881516587677725,0.29411764705882354,0.11688311688311688,0.2692307692307692,0.3402061855670103,0.12643678160919541,0.25,0.2911392405063291,0.322884012539185,0.28901734104046245,0.17307692307692307,0.29473684210526313,0.3548387096774194,0.2037037037037037,0.2926829268292683,0.3484848484848485
KNN Baseline,0.245,0.20431511832569066,0.22678861537611478,0.20374568936353366,0.25957142857142856,0.3439252336448598,0.265625,0.0816326530612245,0.14736842105263157,0.3113772455089821,0.04477611940298508,0.2027027027027027,0.23255813953488372,0.43601895734597157,0.3,0.05194805194805195,0.1346153846153846,0.26804123711340205,0.034482758620689655,0.15625,0.25316455696202533,0.2839506172839506,0.2383177570093458,0.19047619047619047,0.16279069767441862,0.37142857142857144,0.06382978723404255,0.28846153846153844,0.21505376344086022
